Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Line,Over,Under
11,10,11/14/2023,38-319,LAL,,MEM,W (+27),1,22:39,6,11,0.545,3,6,0.5,1,2,0.5,0,9,9,6,1,0,4,1,16,13.8,15,22.5,-122,-100
12,11,11/15/2023,38-320,LAL,,SAC,L (-15),1,35:18:00,9,15,0.6,3,7,0.429,7,8,0.875,2,8,10,12,4,1,6,1,28,31.2,0,23.5,-108,-112
13,12,11/17/2023,38-322,LAL,@,POR,W (+12),1,34:32:00,13,22,0.591,5,9,0.556,4,6,0.667,0,5,5,9,2,0,3,3,35,29.6,18,24.5,-102,-120
14,13,11/19/2023,38-324,LAL,,HOU,W (+1),1,39:35:00,14,19,0.737,2,5,0.4,7,9,0.778,1,5,6,8,3,0,2,0,37,37.3,2,24.5,-105,-115
15,14,11/21/2023,38-326,LAL,,UTA,W (+32),1,24:01:00,6,10,0.6,3,5,0.6,2,2,1,1,6,7,9,0,0,2,0,17,19.2,14,25.5,-118,-104
16,15,11/22/2023,38-327,LAL,,DAL,L (-3),1,36:01:00,9,19,0.474,4,9,0.444,4,7,0.571,2,7,9,7,0,0,3,0,26,20.5,7,25.5,-112,-108
17,16,11/25/2023,38-330,LAL,@,CLE,W (+6),1,35:35:00,8,23,0.348,1,9,0.111,5,7,0.714,1,5,6,6,2,2,4,1,22,13.7,2,25.5,-112,-108
18,17,11/27/2023,38-332,LAL,@,PHI,L (-44),1,29:32:00,8,12,0.667,1,1,1,1,2,0.5,0,0,0,5,1,1,1,0,18,16.6,-30,25.5,-104,-118
19,18,11/29/2023,38-334,LAL,@,DET,W (+26),1,28:42:00,9,19,0.474,2,6,0.333,5,5,1,2,6,8,3,0,0,1,0,25,19.6,26,25.5,-102,-120
20,19,11/30/2023,38-335,LAL,@,OKC,L (-23),1,35:03:00,7,12,0.583,4,8,0.5,3,4,0.75,2,10,12,6,1,1,5,1,21,19.9,-18,25.5,-104,-118
21,20,12/2/2023,38-337,LAL,,HOU,W (+10),1,35:22:00,7,17,0.412,0,4,0,2,5,0.4,0,4,4,7,1,1,5,0,16,8.5,16,24.5,-108,-112
22,21,12/5/2023,38-340,LAL,,PHO,W (+3),1,40:10:00,12,25,0.48,2,4,0.5,5,6,0.833,3,5,8,11,5,0,2,3,31,31,12,26.5,-106,-114
23,22,12/7/2023,38-342,LAL,,NOP,W (+44),1,22:32,9,12,0.75,4,4,1,8,8,1,0,5,5,8,0,0,0,1,30,31.9,36,27.5,-108,-112
24,23,12/12/2023,38-347,LAL,@,DAL,L (-2),1,40:07:00,14,27,0.519,3,8,0.375,2,3,0.667,2,6,8,9,3,1,4,1,33,28.1,-4,25.5,-114,-106
25,,12/13/2023,38-348,LAL,@,SAS,W (+3),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,26.5,-120,-102
26,24,12/15/2023,38-350,LAL,@,SAS,L (-14),1,35:56:00,7,17,0.412,2,6,0.333,7,10,0.7,2,5,7,14,2,0,2,1,23,25,-28,31.5,-110,-110
27,25,12/18/2023,38-353,LAL,,NYK,L (-5),1,39:05:00,10,23,0.435,2,8,0.25,3,4,0.75,1,10,11,11,1,0,2,1,25,22.5,-13,25.5,-114,-106
28,26,12/20/2023,38-355,LAL,@,CHI,L (-16),1,36:59:00,10,18,0.556,1,3,0.333,4,4,1,2,8,10,9,1,2,5,0,25,23.9,-11,25.5,-104,-118
29,,12/21/2023,38-356,LAL,@,MIN,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,26.5,-106,-120
30,27,12/23/2023,38-358,LAL,@,OKC,W (+9),1,37:18:00,13,20,0.65,5,5,1,9,9,1,2,5,7,7,2,2,3,0,40,39.4,10,26.5,-108,-112
31,28,12/25/2023,38-360,LAL,,BOS,L (-11),1,36:47:00,5,14,0.357,1,2,0.5,5,6,0.833,0,9,9,8,0,0,3,1,16,12.7,-11,27.5,-112,-108
32,29,12/28/2023,38-363,LAL,,CHO,W (+21),1,24:43:00,7,13,0.538,2,5,0.4,1,1,1,0,4,4,11,0,0,3,0,17,16.6,1,26.5,-122,-100
33,30,12/30/2023,39-000,LAL,@,MIN,L (-2),1,38:46:00,10,21,0.476,1,4,0.25,5,7,0.714,0,3,3,6,3,1,1,2,26,21.5,-5,26.5,-104,-118
34,31,12/31/2023,39-001,LAL,@,NOP,L (-20),1,36:41:00,12,24,0.5,3,7,0.429,7,8,0.875,0,5,5,8,0,1,4,2,34,24.6,-11,Inactive,Inactive,Inactive
35,32,1/3/2024,39-004,LAL,,MIA,L (-14),1,38:11:00,6,18,0.333,0,6,0,0,0,,0,6,6,9,0,0,2,2,12,7.1,-20,27.5,-105,-115
36,33,1/5/2024,39-006,LAL,,MEM,L (-14),1,38:50:00,11,24,0.458,4,9,0.444,6,10,0.6,2,3,5,7,5,0,4,0,32,26.2,-8,26.5,-118,-104
37,34,1/7/2024,39-008,LAL,,LAC,W (+3),1,38:07:00,11,19,0.579,1,3,0.333,2,3,0.667,1,7,8,7,1,0,4,2,25,19.6,5,25.5,-120,-102
38,35,1/9/2024,39-010,LAL,,TOR,W (+1),1,35:13:00,8,17,0.471,2,5,0.4,4,6,0.667,0,5,5,12,1,1,3,0,22,21.1,0,27.5,-114,-106
39,36,1/11/2024,39-012,LAL,,PHO,L (-18),1,24:16:00,3,11,0.273,0,4,0,4,7,0.571,0,5,5,9,1,0,4,1,10,6.7,-25,27.5,-106,-114
40,,1/13/2024,39-014,LAL,@,UTA,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,26.5,-110,-110
41,37,1/15/2024,39-016,LAL,,OKC,W (+7),1,38:55:00,12,20,0.6,1,2,0.5,0,1,0,0,7,7,6,0,0,5,1,25,16.3,2,25.5,-120,-102
42,38,1/17/2024,39-018,LAL,,DAL,W (+17),1,33:02:00,10,19,0.526,3,7,0.429,2,2,1,1,7,8,8,1,0,3,1,25,21.7,20,25.5,-118,-104
43,39,1/19/2024,39-020,LAL,,BRK,L (-18),1,33:44:00,9,22,0.409,2,5,0.4,4,5,0.8,5,6,11,5,0,0,4,1,24,16.2,-13,24.5,-118,-104
44,40,1/21/2024,39-022,LAL,,POR,W (+24),1,31:00:00,8,16,0.5,3,8,0.375,9,10,0.9,0,5,5,5,0,0,3,2,28,20.8,28,24.5,-118,-104
45,,1/23/2024,39-024,LAL,@,LAC,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,41,1/25/2024,39-026,LAL,,CHI,W (+9),1,35:42:00,10,19,0.526,3,4,0.75,2,2,1,0,4,4,12,2,0,5,2,25,21.5,14,24.5,-120,-102
47,42,1/27/2024,39-028,LAL,@,GSW,W (+1),1,47:40:00,14,25,0.56,2,4,0.5,6,6,1,1,19,20,12,0,0,3,2,36,35.1,-6,25.5,-106,-114
48,43,1/29/2024,39-030,LAL,@,HOU,L (-16),1,36:47:00,9,15,0.6,2,5,0.4,3,8,0.375,0,6,6,10,1,1,1,4,23,22,-11,24.5,-118,-104
49,44,1/30/2024,39-031,LAL,@,ATL,L (-16),1,35:49:00,7,17,0.412,2,6,0.333,4,9,0.444,2,7,9,8,1,1,3,1,20,16.3,-6,28.5,-114,-106
50,,2/1/2024,39-033,LAL,@,BOS,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,24.5,-106,-114
51,45,2/3/2024,39-035,LAL,@,NYK,W (+8),1,40:18:00,10,19,0.526,2,5,0.4,2,2,1,1,4,5,5,2,1,1,1,24,21.4,11,22.5,-115,-105
52,46,2/5/2024,39-037,LAL,@,CHO,W (+6),1,39:32:00,12,22,0.545,0,5,0,2,3,0.667,0,4,4,7,1,1,4,2,26,18,2,24.5,-102,-120
53,47,2/8/2024,39-040,LAL,,DEN,L (-8),1,35:22:00,9,20,0.45,2,6,0.333,5,5,1,1,8,9,7,1,1,2,0,25,22.3,-6,25.5,-122,-100
54,48,2/9/2024,39-041,LAL,,NOP,W (+17),1,37:31:00,6,13,0.462,2,2,1,7,8,0.875,1,3,4,14,1,1,2,2,21,24.2,15,24.5,-118,-104
55,49,2/13/2024,39-045,LAL,,DET,W (+14),1,30:42:00,9,15,0.6,3,6,0.5,4,4,1,0,1,1,8,0,0,4,0,25,20,9,23.5,-118,-104
56,,2/14/2024,39-046,LAL,@,UTA,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,,2/22/2024,39-054,LAL,@,GSW,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,25.5,-102,-125
58,50,2/23/2024,39-055,LAL,,SAS,W (+5),1,34:17:00,13,22,0.591,2,3,0.667,2,2,1,1,6,7,9,1,0,2,0,30,27.6,21,24.5,-106,-114
59,51,2/25/2024,39-057,LAL,@,PHO,L (-10),1,36:47:00,12,19,0.632,3,6,0.5,1,4,0.25,1,6,7,12,2,1,3,3,28,27.7,-8,23.5,-115,-105
60,52,2/28/2024,39-060,LAL,@,LAC,W (+4),1,37:01:00,13,21,0.619,7,12,0.583,1,1,1,1,5,6,8,0,2,3,2,34,29.9,11,24.5,-102,-120
61,53,2/29/2024,39-061,LAL,,WAS,W (+3),1,38:44:00,12,24,0.5,2,5,0.4,5,7,0.714,0,4,4,9,1,1,4,1,31,23,-5,24.5,-106,-114
62,54,3/2/2024,39-063,LAL,,DEN,L (-10),1,37:07:00,12,20,0.6,2,5,0.4,0,2,0,0,4,4,9,3,0,3,1,26,23.1,-1,24.5,-104,-118
63,55,3/4/2024,39-065,LAL,,OKC,W (+12),1,30:59:00,7,14,0.5,1,3,0.333,4,5,0.8,1,10,11,8,1,0,3,1,19,18.5,14,25.5,-110,-110
64,56,3/6/2024,39-067,LAL,,SAC,L (-10),1,36:08:00,10,16,0.625,1,4,0.25,10,10,1,0,5,5,13,1,0,3,0,31,32.4,-3,25.5,-115,-105
65,,3/8/2024,39-069,LAL,,MIL,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,24.5,-122,-100
66,57,3/10/2024,39-071,LAL,,MIN,W (+11),1,37:51:00,10,16,0.625,2,4,0.5,7,9,0.778,0,8,8,9,0,0,4,1,29,25.3,14,25.5,-104,-118
67,58,3/13/2024,39-074,LAL,@,SAC,L (-13),1,40:07:00,6,16,0.375,2,8,0.25,4,6,0.667,1,12,13,9,2,0,5,3,18,14.8,-10,26.5,-104,-118
68,59,3/16/2024,39-077,LAL,,GSW,L (-7),1,37:42:00,15,23,0.652,3,5,0.6,7,8,0.875,3,5,8,9,1,1,4,1,40,36.7,-6,25.5,-118,-104
69,60,3/18/2024,39-079,LAL,,ATL,W (+31),1,28:39:00,10,14,0.714,2,5,0.4,3,3,1,0,7,7,10,0,0,2,0,25,26.3,20,25.5,-106,-114
70,61,3/22/2024,39-083,LAL,,PHI,W (+7),1,37:52:00,7,15,0.467,1,3,0.333,5,7,0.714,0,8,8,6,0,1,8,1,20,10.4,7,25.5,-104,-118
71,62,3/24/2024,39-085,LAL,,IND,W (+5),1,38:08:00,8,19,0.421,2,4,0.5,8,8,1,1,4,5,10,1,1,3,1,26,23.1,12,28.5,-106,-114
72,,3/26/2024,39-087,LAL,@,MIL,W (+4),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Inactive,Inactive,Inactive
73,63,3/27/2024,39-088,LAL,@,MEM,W (+12),1,34:45:00,8,14,0.571,0,1,0,7,11,0.636,0,14,14,12,1,0,4,1,23,24,33,27.5,-104,-118
74,64,3/29/2024,39-090,LAL,@,IND,L (-19),1,34:41:00,6,12,0.5,0,3,0,4,4,1,1,9,10,8,0,0,5,1,16,13.6,-13,24.5,-120,-102
75,65,3/31/2024,39-092,LAL,@,BRK,W (+12),1,37:12:00,13,17,0.765,9,10,0.9,5,6,0.833,1,6,7,5,0,0,4,0,40,34.9,22,24.5,-102,-120
76,66,4/2/2024,39-094,LAL,@,TOR,W (+17),1,28:47:00,10,12,0.833,1,1,1,2,5,0.4,0,4,4,9,0,0,1,0,23,23.9,13,25.5,-115,-105
77,67,4/3/2024,39-095,LAL,@,WAS,W (+5),1,36:11:00,9,18,0.5,0,1,0,7,9,0.778,2,5,7,9,3,0,4,2,25,22.6,9,24.5,-105,-115
78,68,4/6/2024,39-098,LAL,,CLE,W (+19),1,35:54:00,10,18,0.556,1,5,0.2,3,5,0.6,0,5,5,12,1,1,5,1,24,20.8,10,24.5,-110,-110
79,,4/7/2024,39-099,LAL,,MIN,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,24.5,-100,-122
80,69,4/9/2024,39-101,LAL,,GSW,L (-14),1,35:32:00,14,22,0.636,1,3,0.333,4,5,0.8,1,6,7,11,2,0,4,0,33,31,-6,26.5,-110,-110
81,70,4/12/2024,39-104,LAL,@,MEM,W (+3),1,40:54:00,13,20,0.65,3,7,0.429,8,11,0.727,2,7,9,5,2,0,8,1,37,27.6,-3,23.5,-118,-104
82,71,4/14/2024,39-106,LAL,@,NOP,W (+16),1,37:41:00,11,20,0.55,0,2,0,6,6,1,2,9,11,17,5,1,4,0,28,36.1,19,25.5,-120,-102
